MONTH,ACCIDENT_DATE,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,HIT_RUN_FLAG,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,RUN_OFFROAD,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,DRIVER,MOTORIST,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,STAT_DIV_NAME,MONTH,MONTH_COUNT,MONTH_ALC,MONTH_NALC,DAY,DAY_COUNT
2019/01,2019/01/01 00:00:00+00,Yes,Collision with a fixed object,Tuesday,No,Dark Street lights on,Serious injury accident,60 km/hr,Yes,145.2658517,-38.04192039,Non-Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,Yes,0,1,0,1,0,0,Metro,,,,,,
2019/01,2019/01/01 00:00:00+00,Yes,Collision with a fixed object,Tuesday,No,Day,Other injury accident,50 km/hr,Yes,145.0851796,-37.63303805,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,Yes,0,3,0,3,0,0,Metro,,,,,,
2019/01,2019/01/01 00:00:00+00,Yes,Collision with a fixed object,Tuesday,No,Dark Street lights on,Serious injury accident,100 km/hr,Yes,144.9091112,-37.73401512,Non-Intersection,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,No,0,1,0,1,0,0,Metro,,,,,,
2019/01,2019/01/01 00:00:00+00,Yes,Collision with vehicle,Tuesday,No,Dark Street lights on,Serious injury accident,60 km/hr,No,145.2827718,-38.11302336,Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,4,3,0,2,1,1,1,3,0,2,0,0,0,0,1,No,0,2,0,2,0,0,Metro,,,,,,
2019/01,2019/01/01 00:00:00+00,Yes,Collision with a fixed object,Tuesday,No,Dark No street lights,Other injury accident,Not known,Yes,145.6582467,-35.90410623,Off Road,MOIRA,NORTH EASTERN REGION,2,2,0,0,2,0,0,2,0,0,1,0,0,0,0,Yes,0,1,0,0,1,0,Country,,,,,,
2019/01,2019/01/01 00:00:00+00,Yes,Collision with vehicle,Tuesday,Yes,Day,Other injury accident,60 km/hr,No,144.5676602,-37.6872007,Non-Intersection,MELTON,METROPOLITAN NORTH WEST REGION,7,3,0,0,3,4,4,3,0,4,0,0,0,0,0,No,0,4,0,4,0,0,Metro,,,,,,
2019/01,2019/01/01 00:00:00+00,Yes,Collision with a fixed object,Tuesday,No,Dark Street lights on,Serious injury accident,80 km/hr,Yes,145.2762246,-38.0820776,Non-Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,Yes,0,1,0,1,0,0,Metro,,,,,,
2019/01,2019/01/01 00:00:00+00,Yes,Struck Pedestrian,Tuesday,Yes,Dark Street lights on,Other injury accident,60 km/hr,No,148.0073882,-37.87485208,Non-Intersection,EAST GIPPSLAND,EASTERN REGION,2,1,0,0,1,1,2,0,0,1,0,0,0,0,1,No,0,1,0,1,0,0,Country,,,,,,
2019/01,2019/01/01 00:00:00+00,Yes,Collision with a fixed object,Tuesday,No,Day,Serious injury accident,100 km/hr,Yes,144.482274,-37.46658197,Non-Intersection,MACEDON RANGES,NORTHERN REGION,2,1,0,1,0,1,1,1,0,1,0,0,0,0,1,Yes,0,1,0,1,0,0,Country,,,,,,
2019/01,2019/01/01 00:00:00+00,Yes,Collision with a fixed object,Tuesday,No,Dark Street lights on,Other injury accident,80 km/hr,Yes,144.8610188,-37.82428544,Non-Intersection,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,No,1,1,0,1,0,0,Metro,,,,,,
